,EVALID,PLOTID,STATECD,CONDID,SUBP,STATUSCD,STANDING_DEAD_CD,SPCD,scientific,NBR_STEMS,DIA,TPA_UNADJ,OWNGRPCD,FIA_LANDUSE,ITREE_LANDUSE,LEAF_AREA_ITREE,CROWN_DIEBACK_CD,IS_MAINTAINED_AREA,IS_STREET_TREE,IS_PLANTED
34289,PortlandME2022Curr,2383789,23,1,1,Dead,Yes,316,Acer rubrum,1,5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,0,NA,0,0,2
34290,PortlandME2022Curr,2383789,23,1,1,Live,NA,833,Quercus rubra,1,17.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,6156.54372,5,0,0,2
34291,PortlandME2022Curr,2383789,23,1,1,Live,NA,316,Acer rubrum,1,5.2,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1659.04207,0,0,0,2
34311,PortlandME2022Curr,2384025,23,1,1,Dead,Yes,129,Pinus strobus,1,9.4,6.018046286,StateLocal,Forest land,Unused/Other,0,NA,0,0,2
34312,PortlandME2022Curr,2384025,23,1,1,Live,NA,129,Pinus strobus,1,12.6,6.018046286,StateLocal,Forest land,Unused/Other,2519.615846,0,0,0,2
34324,PortlandME2022Curr,2384063,23,1,1,Live,NA,316,Acer rubrum,1,6,6.018046286,Private,Multi-family,Multi-family,3922.207686,5,0,0,2
34325,PortlandME2022Curr,2384063,23,1,1,Live,NA,316,Acer rubrum,1,5,6.018046286,Private,Multi-family,Multi-family,4.165180203,99,0,0,2
34327,PortlandME2022Curr,2388053,23,2,1,Live,NA,743,Populus grandidentata,1,5.6,6.018046286,Private,Residential,Residential,499.4608635,0,0,0,2
34344,PortlandME2022Curr,2383488,23,1,12,Live,NA,316,Acer rubrum,2,1.4,74.96528245,Private,Forest land,Unused/Other,100.198734,0,0,0,2
34345,PortlandME2022Curr,2383488,23,1,1,Live,NA,129,Pinus strobus,1,7.1,6.018046286,Private,Forest land,Unused/Other,1935.936094,0,0,0,2
34361,PortlandME2022Curr,2383488,23,1,1,Live,NA,316,Acer rubrum,1,6.8,6.018046286,Private,Forest land,Unused/Other,1268.606897,0,0,0,2
34362,PortlandME2022Curr,2384088,23,1,14,Dead,Yes,316,Acer rubrum,1,1.8,74.96528245,StateLocal,Forest land,Unused/Other,0,NA,0,0,2
34363,PortlandME2022Curr,2384092,23,1,1,Live,NA,129,Pinus strobus,1,12.5,6.018046286,Private,Multi-family,Multi-family,4905.505049,0,1,0,1
34379,PortlandME2022Curr,2384026,23,1,1,Live,NA,316,Acer rubrum,1,10.2,6.018046286,Private,Commercial/Industrial,Institutional/Commercial,2262.848862,5,0,0,2
34380,PortlandME2022Curr,2384026,23,1,1,Live,NA,129,Pinus strobus,1,10.9,6.018046286,Private,Commercial/Industrial,Institutional/Commercial,2190.889024,0,0,0,2
