"","EVALID","PLOTID","STATECD","CONDID","SUBP","STATUSCD","STANDING_DEAD_CD","SPCD","scientific","NBR_STEMS","DIA","TPA_UNADJ","OWNGRPCD","FIA_LANDUSE","ITREE_LANDUSE","LEAF_AREA_ITREE","CROWN_DIEBACK_CD","IS_MAINTAINED_AREA","IS_STREET_TREE","IS_PLANTED","PLT_CN","MTRE_CN","CND_CN"
"1450","AustinTX2023Curr",1114809,48,1,1,"Live",NA,61,"Juniperus ashei",1,7.4,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",338.6933615197,5,0,0,NA,251083000489998,1262759976290487,140388
"1452","AustinTX2023Curr",1114799,48,1,1,"Live",NA,838,"Quercus virginiana",1,6.8,6.0180462857,"Private","Forest land","Unused/Other",304.865371553,15,0,0,NA,251083087489998,488915250126144,144443
"1453","AustinTX2023Curr",1114809,48,1,1,"Live",NA,61,"Juniperus ashei",1,5.9,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",9.7372315976,95,0,0,NA,251083000489998,1262759980290487,140388
"1454","AustinTX2023Curr",1114809,48,1,1,"Live",NA,61,"Juniperus ashei",5,16.1,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",67.2023132053,95,0,0,NA,251083000489998,1262759984290487,140388
"1463","AustinTX2023Curr",1114835,48,1,12,"Live",NA,6696,"Prunus laurocerasus",1,1.2,74.9652824512,"Private","Residential","Residential",38.9234131488,0,1,0,1,251083088489998,488915270126144,144561
"1465","AustinTX2023Curr",1114788,48,1,1,"Live",NA,61,"Juniperus ashei",1,6.1,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",298.0116111163,0,0,0,NA,251083008489998,1262758903290487,140776
"1498","AustinTX2023Curr",1114730,48,1,1,"Live",NA,756,"Prosopis glandulosa",6,5.4,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",88.5184661438,25,0,0,NA,251083021489998,1262759259290487,141519
"1499","AustinTX2023Curr",1114730,48,1,1,"Live",NA,756,"Prosopis glandulosa",3,5.2,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",87.6846174065,25,0,0,NA,251083021489998,1262759502290487,141519
"1500","AustinTX2023Curr",1114730,48,1,1,"Live",NA,756,"Prosopis glandulosa",2,6.4,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",157.6407601732,0,0,0,NA,251083021489998,1262759524290487,141519
"1501","AustinTX2023Curr",1114730,48,1,1,"Live",NA,756,"Prosopis glandulosa",2,10.1,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",494.7350778295,0,0,0,NA,251083021489998,1262759529290487,141519
"1523","AustinTX2023Curr",1114670,48,1,1,"Live",NA,313,"Acer negundo",1,5.1,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",588.9154076551,0,0,0,2,439637581489998,533392539126144,533392515126144
"1524","AustinTX2023Curr",1114763,48,1,1,"Live",NA,838,"Quercus virginiana",1,8.5,6.0180462857,"Private","Forest land","Unused/Other",780.0032451468,5,0,0,2,505184009126144,809628798290487,809628773290487
"1525","AustinTX2023Curr",1114763,48,1,1,"Live",NA,838,"Quercus virginiana",1,15.2,6.0180462857,"Private","Forest land","Unused/Other",3495.3298072916,0,0,0,2,505184009126144,809628844290487,809628773290487
"1526","AustinTX2023Curr",1114766,48,2,1,"Live",NA,61,"Juniperus ashei",1,6.8,6.0180462857,"Private","Forest land","Unused/Other",235.3645972726,5,0,0,2,505184010126144,1262762449290487,809629170290487
